Date,fx rate,Africa_imports,USA_imports,Europe_imports,Asia_imports,Other_World_imports,Africa_exports,USA_exports,Europe_exports,Asia_exports,Other_World_exports
2023-12-01,154.09,19623,8453,10026,64209,131851,34039,5731,14540,7293,39107
2023-11-01,152.03,24149,9670,16540,73513,153420,37840,5675,12936,8100,43142
2023-10-01,149.4,26401,9147,12483,93368,118037,39281,3965,13409,6632,39296
2023-09-01,146.77,21330,7685,12126,86476,104620,39298,4232,13581,8451,43614
2023-08-01,143.93,24467,13390,12848,86747,119500,42006,5644,14715,9898,41957
2023-07-01,141.45,25594,11290,10104,66938,95512,37028,6809,13852,5257,36538
2023-06-01,139.73,21680,12020,12791,70063,108546,35628,6054,15069,7326,37542
2023-05-01,137.26,22404,11378,11264,87616,112672,38827,6497,16814,6726,42572
2023-04-01,134.4,20329,11277,9970,82955,95540,29169,4498,13693,5243,32140
2023-03-01,129.74,22416,6916,10125,81543,111778,35359,5250,13426,5700,38696
2023-02-01,125.45,17692,5766,8603,62452,93461,33684,4396,13648,3868,37767
2023-01-01,123.93,21775,5769,12769,68113,105295,29734,5512,14223,4435,32249
2022-12-01,122.93,21606,7741,10243,76029,101431,30350,4592,12107,5809,30992
2022-11-01,121.9,21558,7254,8910,67857,102162,28314,7594,12248,6273,34730
2022-10-01,121.03,18837,9069,7605,65988,101724,28839,4632,11690,5466,30411
2022-09-01,120.42,24351,6711,12669,74126,108004,33108,8958,11306,5985,34837
2022-08-01,119.45,23591,6792,9493,76731,142436,28509,6388,10823,4972,32786
2022-07-01,118.32,27075,9309,8394,59755,126352,33802,7413,12580,4245,34518
2022-06-01,117.29,20064,5707,14889,89778,114212,32243,10517,11932,4709,36787
2022-05-01,116.28,21687,8750,9429,80646,128106,30192,6749,13079,4662,36929
2022-04-01,115.4,22590,7611,7023,89573,87267,25658,7732,12537,5106,31814
2022-03-01,114.32,25295,11651,9053,77723,111504,32052,5762,14033,5442,35884
2022-02-01,113.66,23703,6069,8802,61033,97602,28602,4998,13522,5907,30044
2022-01-01,113.38,16672,6705,8567,57733,116915,19496,4598,13125,5540,26012
2021-12-01,112.91,16902,7114,10146,63552,119635,27806,4970,11115,5747,30701
2021-11-01,111.92,25772,7029,9288,54694,117019,26709,5381,12295,6025,24986
2021-10-01,110.86,20978,7718,7074,63386,105088,28077,4747,11166,4474,27837
2021-09-01,110.15,20219,13251,15323,58049,99300,21864,5051,10369,2990,24815
2021-08-01,109.24,20466,6902,10603,54794,96554,26829,5018,10335,4113,28529
2021-07-01,108.14,16935,6081,9924,50449,108048,24071,7152,11433,4059,24518
2021-06-01,107.81,18521,6007,10047,40021,98908,23156,5235,11594,3811,24145
2021-05-01,107.43,16917,5832,10607,46504,95205,24664,4813,12680,4421,28231
2021-04-01,107.95,15663,4101,7902,53629,93105,30984,3488,9775,3600,29816
2021-03-01,109.73,20032,9257,13905,51872,107742,27678,4670,15122,4756,30597
2021-02-01,109.68,16141,5463,10414,39950,101156,24902,3973,14521,4614,30226
2021-01-01,109.83,16551,5491,8556,45121,97735,18850,5066,12574,4563,22779
2020-12-01,110.59,21001,4366,10323,38613,105168,24311,3726,11817,4072,25722
2020-11-01,109.25,15704,4195,10064,37046,84257,19667,4577,10130,4864,20682
2020-10-01,108.64,16461,4377,8836,40785,88089,20386,4763,11345,4021,22488
2020-09-01,108.41,15794,4429,7527,43853,83340,21699,3992,12305,3989,24457
2020-08-01,108.14,14441,4581,14213,32614,83416,22790,5363,10114,5152,22359
2020-07-01,107.27,14294,4941,9528,34259,86496,21816,3765,10316,4116,23302
2020-06-01,106.4,12946,4556,10243,26451,76695,18045,5174,9141,4245,20373
2020-05-01,106.68,11345,5470,9116,22411,68775,16067,2905,9635,5149,21333
2020-04-01,106.41,13459,6398,8065,29009,69863,13500,2949,9891,5578,18696
2020-03-01,103.74,15588,4390,8781,49961,68965,23270,3698,10691,4667,33845
2020-02-01,100.79,14202,4232,8896,37331,79108,22533,3785,12387,4600,29456
2020-01-01,101.09,16727,4372,10675,45135,90257,19375,4681,11425,4204,23030
2019-12-01,101.5,14959,4565,10348,51178,85831,17099,3378,7483,3859,19628
2019-11-01,102.39,16967,2960,11030,48050,91658,20661,4579,9068,4244,23593
2019-10-01,103.67,20625,5536,10967,46217,91630,21112,3720,10234,4545,20965
2019-09-01,103.8,21530,6726,10468,45451,80519,18653,5254,7428,3372,19966
2019-08-01,103.3,22114,5076,10458,43952,78997,18094,4494,9169,3199,23091
2019-07-01,103.16,22808,6060,12939,49967,75980,20260,4375,9047,3209,24484
2019-06-01,101.69,19511,3748,8086,49937,79976,18110,4393,11819,2493,23102
2019-05-01,101.15,19886,8921,10468,53908,75284,17947,4193,6900,3468,22776
2019-04-01,101.07,17564,4828,11824,59111,68243,18064,5315,8912,3791,21627
2019-03-01,100.36,17954,4081,10170,40313,65051,17467,4279,11086,4309,23382
2019-02-01,100.23,15159,5122,11273,36195,84682,18036,3652,11110,4298,22400
2019-01-01,101.58,19748,4649,9491,49069,85928,17911,4283,12049,4452,22674
