Date,fx rate,EgyptImports,EgyptExports
2023-12-01,154.09,4359,2475
2023-11-01,152.03,4053,2689
2023-10-01,149.4,5526,3447
2023-09-01,146.77,3889,2685
2023-08-01,143.93,4185,3394
2023-07-01,141.45,3812,2425
2023-06-01,139.73,4325,3290
2023-05-01,137.26,4275,2021
2023-04-01,134.4,3578,1605
2023-03-01,129.74,4741,2703
2023-02-01,125.45,3313,2284
2023-01-01,123.93,3517,2199
2022-12-01,122.93,3223,2348
2022-11-01,121.9,4140,2295
2022-10-01,121.03,2970,1024
2022-09-01,120.42,3724,2268
2022-08-01,119.45,3360,1785
2022-07-01,118.32,3971,2542
2022-06-01,117.29,4237,2621
2022-05-01,116.28,3430,2356
2022-04-01,115.4,3677,2098
2022-03-01,114.32,4189,2881
2022-02-01,113.66,3190,2478
2022-01-01,113.38,3849,2074
2021-12-01,112.91,4918,2228
2021-11-01,111.92,4748,1851
2021-10-01,110.86,3215,1498
2021-09-01,110.15,4452,1486
2021-08-01,109.24,4312,1805
2021-07-01,108.14,3091,1113
2021-06-01,107.81,4395,1214
2021-05-01,107.43,4164,1832
2021-04-01,107.95,3368,1683
2021-03-01,109.73,4914,2487
2021-02-01,109.68,3243,2366
2021-01-01,109.83,4068,1611
2020-12-01,110.59,4783,2060
2020-11-01,109.25,3988,1486
2020-10-01,108.64,4338,1794
2020-09-01,108.41,4049,1712
2020-08-01,108.14,4175,660
2020-07-01,107.27,3296,1306
2020-06-01,106.4,3553,1739
2020-05-01,106.68,2781,1422
2020-04-01,106.41,3131,1374
2020-03-01,103.74,2725,1601
2020-02-01,100.79,3965,1666
2020-01-01,101.09,4068,2163
2019-12-01,101.5,2857,1048
2019-11-01,102.39,3034,1743
2019-10-01,103.67,5766,1792
2019-09-01,103.8,3173,1478
2019-08-01,103.3,4131,2001
2019-07-01,103.16,4233,810
2019-06-01,101.69,2514,1414
2019-05-01,101.15,3430,1712
2019-04-01,101.07,2857,1657
2019-03-01,100.36,3454,1732
2019-02-01,100.23,2938,1464
2019-01-01,101.58,4184,2077
2018-12-01,102.29,2920,1653
2018-11-01,102.36,3300,1119
2018-10-01,101.08,2897,2098
2018-09-01,100.83,2718,1591
2018-08-01,100.61,2468,1538
2018-07-01,100.67,3631,1383
2018-06-01,101.0,2977,1951
2018-05-01,100.66,2862,2380
2018-04-01,100.61,3503,1017
2018-03-01,101.18,2551,1185
2018-02-01,101.4,3411,2016
2018-01-01,102.92,3102,2195
2017-12-01,103.1,2844,2609
2017-11-01,103.57,3634,2216
2017-10-01,103.39,2429,1364
2017-09-01,103.12,3264,2221
2017-08-01,103.56,3015,1214
2017-07-01,103.88,3160,1388
2017-06-01,103.49,3119,1745
2017-05-01,103.26,2697,920
2017-04-01,103.33,2054,933
2017-03-01,102.85,2863,1398
2017-02-01,103.64,2619,1533
2017-01-01,103.75,3685,1464
2016-12-01,102.13,3259,1769
2016-11-01,101.75,3418,760
2016-10-01,101.32,2401,1066
2016-09-01,101.27,3367,1861
2016-08-01,101.41,2234,1810
2016-07-01,101.33,2321,2097
2016-06-01,101.15,2272,1896
