Year,Month,Uganda,Tanzania,Zambia,Egypt,S.Africa,Zimbabwe,Other,Total,Year,Month,UK,USA,Germany,Italy,UAE,S.Arabia,France,India,S.Africa,Japan,Others,Total
2023,June,3039,3915,599,4325,6748,791,2263,21680,2023,June,3588,12020,5178,1695,32248,7655,2330,21412,6748,8748,108546,210166
2023,December,2134,3470,340,4359,5125,450,3745,19622,2023,December,2435,8453,3382,1709,31030,5007,2500,19295,5125,8877,131851,219664
2023,January,2922,2386,181,3517,3267,93,9409,21776,2023,January,3658,5769,2995,1740,33077,4013,4376,24201,3267,6822,105295,195214
2023,February,3016,2692,232,3313,5790,208,2441,17691,2023,February,2509,5766,3695,963,35619,7170,1436,13993,5790,5670,93461,176071
2023,March,3191,2909,213,4741,7319,361,3682,22416,2023,March,2479,6916,2916,2678,13925,32265,2052,27320,7319,8033,111778,217680
2023,April,2601,2685,290,3578,8551,179,2445,20329,2023,April,2237,11277,3525,2508,28148,19241,1700,27650,8551,7916,95540,208293
2023,May,4220,4094,379,4275,7350,60,2026,22403,2023,May,3344,11378,3547,1673,40741,12409,2700,26626,7350,7840,112672,230279
2023,July,3304,5378,1150,3812,7848,42,4060,25594,2023,July,3147,11290,2591,1584,32174,7781,2782,18568,7848,8415,95512,191692
2023,August,3419,4297,1156,4185,6338,372,4700,24466,2023,August,2829,13390,3498,2586,50048,9073,3935,19228,6338,8398,119500,238823
2023,September,3092,3684,1053,3889,4690,54,4868,21329,2023,September,2810,7685,2769,1733,41587,18522,4814,17757,4690,8610,104620,215597
2023,October,2728,3724,788,5526,7847,284,5504,26400,2023,October,3322,9147,2879,1449,41919,10269,4833,33670,7847,7510,118037,240882
2023,November,4265,3816,533,4053,5969,203,5310,24149,2023,November,8551,9670,2942,1568,31670,11745,3479,19455,5969,10643,153420,259111
2022,January,2121,3179,430,3849,4261,131,2701,16671,2022,January,2042,6705,3070,1719,12464,13012,1736,25494,4261,6763,116915,194180
2022,April,3222,4784,351,3677,3587,198,6771,22590,2022,April,2567,7611,2151,1162,34784,15741,1143,30751,3587,8297,87267,195062
2022,March,3260,4675,577,4189,3386,144,9064,25296,2022,March,3644,11651,2159,1642,36265,10727,1608,21419,3386,9312,111504,213318
2022,February,2535,4012,652,3190,10086,150,3078,23704,2022,February,3401,6069,2304,1877,23451,13229,1220,15144,10086,9209,97602,183591
2022,June,2775,5564,831,4237,2998,4,3655,20064,2022,June,3285,5707,3586,5986,37573,10295,2032,33638,2998,8272,114212,227584
