Year,Month,UK,Germany,USA,Netherlands,Uganda,Tanzania,Pakistan,France,Egypt,Belgium,Others,Total,Year,Month,Uganda,Tanzania,Zambia,Egypt,Rwanda,Zimbabwe,Ethiopia,Somalia,S.Africa,DRC,Other,Total
2023,June,4199,1975,6054,6260,10806,5741,7326,1548,3290,1087,37542,85829,2023,June,10806,5741,826,3290,3324,266,1846,1620,246,1826,5837,35629
2023,December,5148,929,5731,6758,9536,5557,7293,1263,2475,442,39107,84239,2023,December,9536,5557,737,2475,3286,268,1472,1420,443,2283,6562,34039
2023,January,4230,1199,5512,5843,9930,4404,4435,1145,2199,1806,32249,72951,2023,January,9930,4404,641,2199,3153,183,1162,1069,500,1564,4929,29734
2023,February,4716,1553,4396,6088,10043,4676,3868,963,2284,328,37767,76683,2023,February,10043,4676,910,2284,2945,205,1477,2454,538,2160,5992,33683
2023,March,4566,1716,5250,5975,11076,4922,5700,931,2703,238,38696,81772,2023,March,11076,4922,682,2703,3272,159,1531,1474,705,1799,7036,35358
2023,April,4091,1459,4498,6596,9908,3611,5243,1105,1605,442,32140,70700,2023,April,9908,3611,738,1605,3046,218,871,1725,291,1682,5474,29171
2023,May,5052,1277,6497,8431,10726,5999,6726,1388,2021,666,42572,91354,2023,May,10726,5999,764,2021,4256,226,1445,3105,894,2155,7236,38827
2023,July,4145,1442,6809,6123,11723,5978,5257,1329,2425,813,36538,82583,2023,July,11723,5978,822,2425,3819,263,1211,1401,529,1879,6978,37029
2023,August,4615,1348,5644,6580,12170,6490,9898,1575,3394,597,41957,94270,2023,August,12170,6490,1007,3394,4226,162,1214,1654,1397,3076,7216,42006
2023,September,4348,1204,4232,5789,11653,6972,8451,1746,2685,494,43614,91188,2023,September,11653,6972,781,2685,3662,218,929,2255,344,2668,7131,39298
2023,October,5017,900,3965,5710,9990,7437,6632,1383,3447,399,39296,84176,2023,October,9990,7437,879,3447,3652,301,1352,1918,548,2246,7511,39280
2023,November,4558,972,5675,5863,9675,6759,8100,1178,2689,365,43142,88977,2023,November,9675,6759,944,2689,3726,356,1254,1523,1020,3108,6786,37839
2022,January,4167,1466,4598,5977,5185,3017,5540,765,2074,750,26012,59551,2022,January,5185,3017,455,2074,1772,167,527,912,364,829,4194,19496
2022,April,3355,1621,7732,5797,5375,3702,5106,876,2098,888,31814,68364,2022,April,5375,3702,639,2098,3202,304,1143,945,503,1149,6598,25657
2022,March,4293,1533,5762,6399,7681,5385,5442,781,2881,1027,35884,77068,2022,March,7681,5385,606,2881,3325,482,1267,1376,840,1538,6671,32053
2022,February,4484,1238,4998,6105,7762,5548,5907,715,2478,980,30044,70257,2022,February,7762,5548,440,2478,2502,548,1180,1171,480,1518,4975,28603
2022,June,3454,1184,10517,5848,9337,4723,4709,820,2621,626,36787,80625,2022,June,9337,4723,603,2621,3653,138,1614,997,487,1606,6464,32241
2022,July,3750,1438,7413,5256,9703,4476,4245,1126,2542,1010,34518,75477,2022,July,9703,4476,663,2542,4895,233,1326,1752,1044,1270,5898,33802
2022,August,3363,1144,6388,4667,8684,5012,4972,1001,1785,648,32786,70450,2022,August,8684,5012,710,1785,3740,182,1107,917,557,1282,4533,28508
2022,September,3195,1496,8958,5342,9489,5215,5985,876,2268,397,34837,78056,2022,September,9489,5215,357,2268,3976,0,1505,1891,535,1717,6155,33110
2022,October,3235,1101,4632,6180,8859,5489,5466,809,1024,365,30411,67571,2022,October,8859,5489,518,1024,3155,214,1455,1034,252,1734,5105,28838
2022,November,3684,1106,7594,6301,7170,4709,6273,640,2295,517,34730,75019,2022,November,7170,4709,849,2295,2422,124,1288,1329,944,1783,5401,28314
2022,December,3526,1332,4592,5920,7966,5005,5809,783,2348,546,30992,68820,2022,December,7966,5005,935,2348,3591,167,1317,1889,371,1855,4906,30350
2022,May,4060,1287,6749,5859,9223,4293,4662,899,2356,974,36929,77291,2022,May,9223,4293,645,2356,3940,187,1202,1101,473,1529,5243,30192
2021,May,4235,925,4813,5793,8395,2735,4421,902,1832,825,28231,63108,2021,May,8395,2735,316,1832,2208,776,739,2126,232,1181,4124,24665
2021,April,3099,795,3488,4758,7444,2989,3600,649,1683,474,29816,58794,2021,April,7444,2989,1451,1683,1998,688,598,317,157,9943,3716,30982
2021,March,5422,2358,4670,5577,8632,3418,4756,1134,2487,631,30597,69683,2021,March,8632,3418,1555,2487,2506,115,680,1298,259,1581,5147,27676
2021,February,5035,1922,3973,6312,8846,2859,4614,824,2366,428,30226,67404,2021,February,8846,2859,324,2366,1794,72,857,724,620,1301,5139,24902
2021,January,4608,1251,5066,5512,5264,2456,4563,731,1611,472,22779,54314,2021,January,5264,2456,317,1611,1579,85,673,699,140,953,5073,18850
2021,June,4308,875,5235,4582,7535,3154,3811,1069,1214,760,24145,56689,2021,June,7535,3154,540,1214,2394,290,944,892,262,1492,4439,23158
2021,July,3875,916,7152,4760,6945,4027,4059,814,1113,1068,24518,59247,2021,July,6945,4027,717,1113,2647,129,1548,1111,245,1306,4283,24073
2021,August,3403,1123,5018,4267,7701,3673,4113,972,1805,570,28529,61173,2021,August,7701,3673,644,1805,2726,292,2413,1555,204,1407,4409,26828
