Date,fx rate,Uganda_imports,Tanzania_imports,Zambia_imports,Egypt_imports,S.Africa_imports,Zimbabwe_imports,Other_Africa_imports,UK_imports,USA_imports,Germany_imports,Italy_imports,UAE_imports,S.Arabia_imports,France_imports,India_imports,Japan_imports,Other_World_imports,UK_exports,Germany_exports,USA_exports,Netherlands_exports,Pakistan_exports,France_exports,Belgium_exports,Other_World_exports,Uganda_exports,Tanzania_exports,Zambia_exports,Egypt_exports,Rwanda_exports,Zimbabwe_exports,Ethiopia_exports,Somalia_exports,S.Africa_exports,DRC_exports,Other_Africa_exports
2023-12-01,154.09,2134,3470,340,4359,5125,450,3745,2435,8453,3382,1709,31030,5007,2500,19295,8877,131851,5148,929,5731,6758,7293,1263,442,39107,9536,5557,737,2475,3286,268,1472,1420,443,2283,6562
2023-11-01,152.03,4265,3816,533,4053,5969,203,5310,8551,9670,2942,1568,31670,11745,3479,19455,10643,153420,4558,972,5675,5863,8100,1178,365,43142,9675,6759,944,2689,3726,356,1254,1523,1020,3108,6786
2023-10-01,149.4,2728,3724,788,5526,7847,284,5504,3322,9147,2879,1449,41919,10269,4833,33670,7510,118037,5017,900,3965,5710,6632,1383,399,39296,9990,7437,879,3447,3652,301,1352,1918,548,2246,7511
2023-09-01,146.77,3092,3684,1053,3889,4690,54,4868,2810,7685,2769,1733,41587,18522,4814,17757,8610,104620,4348,1204,4232,5789,8451,1746,494,43614,11653,6972,781,2685,3662,218,929,2255,344,2668,7131
2023-08-01,143.93,3419,4297,1156,4185,6338,372,4700,2829,13390,3498,2586,50048,9073,3935,19228,8398,119500,4615,1348,5644,6580,9898,1575,597,41957,12170,6490,1007,3394,4226,162,1214,1654,1397,3076,7216
2023-07-01,141.45,3304,5378,1150,3812,7848,42,4060,3147,11290,2591,1584,32174,7781,2782,18568,8415,95512,4145,1442,6809,6123,5257,1329,813,36538,11723,5978,822,2425,3819,263,1211,1401,529,1879,6978
2023-06-01,139.73,3039,3915,599,4325,6748,791,2263,3588,12020,5178,1695,32248,7655,2330,21412,8748,108546,4199,1975,6054,6260,7326,1548,1087,37542,10806,5741,826,3290,3324,266,1846,1620,246,1826,5837
2023-05-01,137.26,4220,4094,379,4275,7350,60,2026,3344,11378,3547,1673,40741,12409,2700,26626,7840,112672,5052,1277,6497,8431,6726,1388,666,42572,10726,5999,764,2021,4256,226,1445,3105,894,2155,7236
2023-04-01,134.4,2601,2685,290,3578,8551,179,2445,2237,11277,3525,2508,28148,19241,1700,27650,7916,95540,4091,1459,4498,6596,5243,1105,442,32140,9908,3611,738,1605,3046,218,871,1725,291,1682,5474
2023-03-01,129.74,3191,2909,213,4741,7319,361,3682,2479,6916,2916,2678,13925,32265,2052,27320,8033,111778,4566,1716,5250,5975,5700,931,238,38696,11076,4922,682,2703,3272,159,1531,1474,705,1799,7036
